prefab_name: "Seattle:Spirit/SpiritWater"
character_sheet_id: "Spirit Water"
equipment_sheet_id: "Spirit Water F2 Gear"
character_mod {
  stats {
    body: -4
    quickness: -4
    strength: -3
    charisma: -3
    intelligence: -3
    willpower: -3
    essence: 0
    magic: 0
    hp: -40
    ap: 0
    armor: 0
    force: -3
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
  }
  skills {
    ranged_combat: -3
    close_combat: 0
    throwing_weapons: 0
    spellcasting: -3
    decking: 0
    conjuring: -3
    spirit_summoning: 0
    drone_control: 0
    biotech: 0
    dodge: -3
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_socialite: 0
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
  }
  specializations {
    pistol: -3
    rifle: 0
    shotgun: 0
    smg: 0
    edged: 0
    unarmed: 0
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  archetypeName: "Guard - Protect"
  attitude: AttitudeCautious
  vulnerabilities {
  }
}
team_id: "Shadowrunners"
char_name: "Red Poison Ooze"
pc_spawn_number: -1
hiring_type: HiringType_None
portrait {
  filename: "Generic_Spirit_Water"
}
karma: 78
hiring_cost_override: 1000
